OBJ_ID,total_usage,total_duration,num_sessions,cluster_kmeans,perfil_consumo,PCA1,PCA2
101400050007550357,10543090.0,7.746111111111111,15,0,Alto Regular,0.5738694738284127,-0.23877342999359874
101400050016976665,248110.0,0.0030555555555555557,3,1,Bajo Extremo,-1.3426007280328065,-0.05935084678340731
101410011306684582,6750616.0,5.3436111111111115,8,1,Bajo Extremo,-0.23940815710544106,-0.14834921154354808
101420011305728653,13300506.0,12.038333333333334,6,0,Alto Regular,0.5918145100501825,-0.17239637798518195
101420050005318673,165131.0,0.001388888888888889,2,1,Bajo Extremo,-1.4095456001082762,-0.048542765401729616
101430011306662464,9285625.0,5.954444444444444,5,1,Bajo Extremo,-0.3510505876876025,-0.11604909904511305
101430011307371783,1676015.0,6.665555555555556,10,0,Alto Regular,0.08309169623109182,-0.19129656073982215
101430011315631519,579418.0,0.02277777777777778,7,1,Bajo Extremo,-1.0729429790965292,-0.10269793800741606
101430012313370736,6149753.0,0.07222222222222222,2,1,Bajo Extremo,-1.3980899509789295,-0.03790461643398584
101430012314211864,33340860.0,4.987777777777778,2,1,Bajo Extremo,-0.6851117289598665,-0.02954934207284711
101430050001835533,53981212.0,2.3519444444444444,6,1,Bajo Extremo,-0.7932355606273878,-0.011592222624693548
101440011305826960,12018.0,0.008888888888888889,2,1,Bajo Extremo,-1.4084988741719573,-0.048895980309812896
101440011307119848,8016187.0,1.6711111111111112,17,1,Bajo Extremo,-0.16733971159123628,-0.21255411407571148
101440011307721403,166256.0,0.008888888888888889,2,1,Bajo Extremo,-1.4084662878434302,-0.04860592212470954
101440011309196602,1054059021.0,7.2588888888888885,9,0,Alto Regular,0.32411107801004074,1.793588509315491
101440011311138086,70543115.0,1.2694444444444444,31,2,Bajo Regular,0.7217057537405235,-0.24476576368282646
101440011311841158,9892829.0,10.666666666666666,6,0,Alto Regular,0.3937438083715011,-0.1668672216901681
101440011311848052,8646472.0,11.214166666666667,24,0,Alto Regular,1.6726287682895402,-0.3710692536882414
101440011313663836,582633.0,0.3825,8,1,Bajo Extremo,-0.9544991391100959,-0.11677217464131336
101450011309587505,2899213.0,11.562222222222221,6,0,Alto Regular,0.5211157442960845,-0.18781334067912497
101450011311872963,5406959.0,12.133055555555556,9,0,Alto Regular,0.8038377683339437,-0.22091413375985366
101450050004071755,326955888.0,6.666666666666667,4,1,Bajo Extremo,-0.248150857763649,0.4861090616778916
101450050010645145,271879312.0,16.333333333333336,10,0,Alto Regular,1.5311454664420354,0.23270608869635465
101450050016540182,3792212.0,5.333055555555555,4,1,Bajo Extremo,-0.5083020716210399,-0.11002238379671919
101460011305331501,20772818.0,8.66638888888889,8,0,Alto Regular,0.2416243617599682,-0.1508973058880152
101460011308300570,16866.0,0.46944444444444444,1,1,Bajo Extremo,-1.408922223897383,-0.04194544540002484
101460011308651351,151500580.0,15.693333333333333,17,0,Alto Regular,1.8804444822635216,-0.06475422170475698
101460011308660041,251364560.0,13.775,11,0,Alto Regular,1.2254144693948288,0.20544179517117112
101460050014335356,12093935.0,0.31472222222222224,19,1,Bajo Extremo,-0.22825573701161733,-0.2149801685313866
101470011306726010,23739620.0,10.823611111111111,4,0,Alto Regular,0.28587480355229,-0.12029374152037636
101470011311419307,363776.0,0.5913888888888889,4,1,Bajo Extremo,-1.1912413382740996,-0.07520320836795491
101480011306406004,6660.0,0.03277777777777778,2,1,Bajo Extremo,-1.4050629537983041,-0.0491139611354457
101480011307081829,1998714.0,9.332777777777778,5,0,Alto Regular,0.1334730355130738,-0.1591543620795442
101480011313444321,3146438.0,6.937777777777777,3,1,Bajo Extremo,-0.34424405777431977,-0.11425306597282942
101480050006390667,147894036.0,16.894166666666667,9,0,Alto Regular,1.518953975220358,0.0056095255984281115
