,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59
ACTUAL_USAGE,-0.013513994325616492,0.6979443118671519,-0.07697134738203641,0.005453477537861018,-0.0048938989914062425,-0.009549810105891317,-0.0160308007964283,-0.007184207098421906,-0.001608703622316049,0.013561021270746522,0.006469973736517448,-0.013632404595418882,-0.00363248123215916,0.014673309717089146,-0.005944682743354496,-0.012342449112252546,-0.0019031055754014504,-0.008118845742324573,0.0062335606696873325,-0.011846525617696335,-0.008689414897848774,0.01740442864133539,-0.01671142789994216,-0.0017334895133908016,0.006971011539203702,0.0030119441194183735,-0.005059702671500611,0.0029490120467168812,-0.004906577127335325,0.013063194779244433,0.0112519579478048,-0.003199375670929802,0.006369648283955566,0.004364032165646958,0.003925392126459787,-0.016705145065677385,-0.011744726217241708,-0.010968586119773846,0.0029786210115527872,-0.01060698668120287,-0.00997003712084564,0.005409922243271553,-0.002143825290728582,0.017523095446764954,0.0007912594024051117,-0.001398789272972878,-0.013256666714583934,-0.005084348678570702,0.0068181632586494165,-0.017983228557929373,0.00021361906262580208,0.012884888130378566,-0.0045743291833703174,0.018702959552550136,-0.0068514363292305315,-0.00482542642144719,0.0059091884937150785,0.005566834603760701,-0.008643074697451666
RATING_USAGE,-0.013513994325616493,0.6979443118671519,-0.07697134738203643,0.00545347753786124,-0.004893898991406118,-0.009549810105891426,-0.016030800796428376,-0.007184207098421838,-0.0016087036223161877,0.013561021270746557,0.006469973736517476,-0.013632404595419007,-0.0036324812321590905,0.014673309717089146,-0.005944682743354584,-0.01234244911225265,-0.001903105575401233,-0.008118845742324491,0.006233560669687471,-0.011846525617696294,-0.008689414897848594,0.017404428641335484,-0.01671142789994203,-0.00173348951339089,0.006971011539203653,0.003011944119418117,-0.005059702671500514,0.0029490120467170478,-0.00490657712733561,0.013063194779244613,0.011251957947804932,-0.003199375670930255,0.006369648283955688,0.004364032165647254,0.003925392126459818,-0.0167051450656772,-0.011744726217241666,-0.010968586119774085,0.0029786210115527872,-0.010606986681202898,-0.00997003712084543,0.0054099222432716365,-0.002143825290728568,0.017523095446764753,0.000791259402405077,-0.0013987892729728224,-0.013256666714583795,-0.005084348678570702,0.006818163258649507,-0.01798322855792911,0.00021361906262566677,0.012884888130378469,-0.004574329183370307,0.01870295955255019,-0.0068514363292303945,-0.004825426421447261,0.005909188493715162,0.005566834603760729,-0.008643074697451725
USAGE_MEASURE_UNIT,0.0,-2.117582368135751e-22,0.0,-1.6653345369377348e-16,2.7755575615628914e-17,-3.122502256758253e-17,6.938893903907228e-18,-5.551115123125783e-17,-0.0,-2.0816681711721685e-17,0.0,-3.469446951953614e-17,-8.673617379884035e-17,3.122502256758253e-17,1.3877787807814457e-17,1.942890293094024e-16,-1.3444106938820255e-17,1.249000902703301e-16,-0.0,-2.7755575615628914e-17,-5.551115123125783e-17,1.1102230246251565e-16,1.932048271369169e-16,1.2284010614260765e-16,6.938893903907228e-18,1.5265566588595902e-16,1.214306433183765e-16,-2.7755575615628914e-17,-5.551115123125783e-17,-8.326672684688674e-17,4.163336342344337e-17,-8.326672684688674e-17,-9.71445146547012e-17,1.249000902703301e-16,1.1102230246251565e-16,1.249000902703301e-16,1.1102230246251565e-16,1.1102230246251565e-16,-9.020562075079397e-17,-8.326672684688674e-17,-1.2955368928254524e-16,5.551115123125783e-17,-4.85722573273506e-16,-2.636779683484747e-16,-2.7755575615628914e-17,4.5102810375396984e-17,-1.3444106938820255e-16,-7.546047120499111e-17,-1.3183898417423734e-16,1.8041124150158794e-16,-1.8735013540549517e-16,1.1102230246251565e-16,2.7755575615628914e-17,0.0,4.519225705462704e-16,-9.71445146547012e-17,5.551115123125783e-17,-2.7755575615628914e-17,-6.245004513516506e-17
FREE_UNIT_USAGE,-3.944304526105059e-31,0.0,4.235164736271502e-22,-8.326672684688674e-17,-1.1102230246251565e-16,4.85722573273506e-17,1.1102230246251565e-16,2.7755575615628914e-17,2.7755575615628914e-17,4.0766001685454967e-17,1.3877787807814457e-17,-8.326672684688674e-17,9.71445146547012e-17,-9.020562075079397e-17,5.551115123125783e-17,5.551115123125783e-17,-1.6263032587282567e-16,4.85722573273506e-17,5.551115123125783e-17,2.7755575615628914e-17,1.3877787807814457e-17,4.163336342344337e-17,1.4224732503009818e-16,7.632783294297951e-17,-1.6653345369377348e-16,8.326672684688674e-17,-2.7755575615628914e-17,1.1102230246251565e-16,-1.8041124150158794e-16,1.1102230246251565e-16,9.71445146547012e-17,1.1796119636642288e-16,1.5612511283791264e-16,-2.7755575615628914e-17,1.3877787807814457e-17,-1.8344700758454735e-16,-1.1102230246251565e-16,1.0408340855860843e-16,-1.457167719820518e-16,-1.3877787807814457e-17,8.507937735401094e-17,2.7755575615628914e-17,-1.3877787807814457e-16,-4.163336342344337e-17,1.3877787807814457e-17,1.3877787807814457e-16,-6.938893903907228e-17,0.0,-2.498001805406602e-16,-1.6653345369377348e-16,-1.3877787807814457e-17,-4.163336342344337e-17,-1.942890293094024e-16,1.2479167005308156e-16,-2.626750813389256e-16,-2.7755575615628914e-17,-1.1102230246251565e-16,-1.3877787807814457e-16,9.71445146547012e-17
FREE_UNIT_MEASURE_UNIT,0.0,-1.6543612251060553e-24,-5.293955920339377e-23,-2.7755575615628914e-17,-1.6653345369377348e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.6653345369377348e-16,-5.551115123125783e-17,6.245004513516506e-17,-1.3877787807814457e-16,0.0,1.1102230246251565e-16,-1.734723475976807e-16,1.3877787807814457e-17,-4.163336342344337e-17,-2.233456475320139e-17,-5.048045315092509e-16,1.8041124150158794e-16,3.5388358909926865e-16,-1.942890293094024e-16,-5.551115123125783e-17,-4.657732532997727e-16,-3.677613769070831e-16,-2.0816681711721685e-16,-4.85722573273506e-17,3.8510861166685117e-16,1.0842021724855044e-16,-4.597017211338539e-17,1.6653345369377348e-16,2.42861286636753e-16,3.608224830031759e-16,4.0245584642661925e-16,-0.0,1.3877787807814457e-16,-2.914335439641036e-16,1.3877787807814457e-16,-1.3877787807814457e-16,-4.85722573273506e-17,-2.7755575615628914e-17,-2.16567689888085e-16,-2.0816681711721685e-17,-2.1163626406917047e-16,1.5959455978986625e-16,-3.642919299551295e-16,2.42861286636753e-16,2.0816681711721685e-17,6.938893903907228e-18,-5.551115123125783e-17,1.6653345369377348e-16,9.71445146547012e-17,-1.942890293094024e-16,-1.1102230246251565e-16,-1.6653345369377348e-16,-9.91333480148543e-16,5.551115123125783e-17,-8.326672684688674e-17,5.551115123125783e-17,-1.3183898417423734e-16
ACTUAL_CHARGE,-3.851859888774472e-34,1.0339757656912846e-25,-1.3234889800848443e-23,-8.326672684688674e-17,-0.0,-3.122502256758253e-17,-1.8735013540549517e-16,-8.326672684688674e-17,1.9949319973733282e-17,-1.249000902703301e-16,-5.551115123125783e-17,-2.7755575615628914e-17,-1.2663481374630692e-16,-1.3357370765021415e-16,4.5102810375396984e-17,-8.326672684688674e-17,-1.9949319973733282e-17,-2.0816681711721685e-17,-0.0,1.8041124150158794e-16,1.1102230246251565e-16,1.0191500421363742e-17,3.2959746043559335e-17,2.0816681711721685e-17,2.7755575615628914e-17,-1.1102230246251565e-16,1.1102230246251565e-16,0.0,-2.7755575615628914e-17,1.1102230246251565e-16,4.163336342344337e-17,-4.85722573273506e-17,-1.196959198423997e-16,3.0097452308197603e-16,1.3183898417423734e-16,-4.163336342344337e-17,-2.7755575615628914e-17,8.326672684688674e-17,-9.71445146547012e-17,2.7755575615628914e-17,-1.5436836650530722e-16,1.3877787807814457e-16,-1.3877787807814457e-17,2.7755575615628914e-17,-9.020562075079397e-17,-1.734723475976807e-16,1.6653345369377348e-16,-1.5959455978986625e-16,-1.0408340855860843e-16,-1.5612511283791264e-16,7.632783294297951e-17,2.7755575615628914e-17,-1.3877787807814457e-16,1.6653345369377348e-16,-1.2045486136313954e-16,1.3877787807814457e-17,-2.7755575615628914e-17,-4.85722573273506e-17,1.8041124150158794e-16
TOTAL_TAX_AMOUNT,-6.018531076210112e-36,-6.462348535570529e-27,8.271806125530277e-25,2.7755575615628914e-17,1.6653345369377348e-16,6.418476861114186e-17,1.734723475976807e-17,-1.3877787807814457e-17,-0.0,1.8041124150158794e-16,-3.469446951953614e-17,7.632783294297951e-17,-1.1102230246251565e-16,0.0,4.163336342344337e-17,0.0,8.153200337090993e-17,1.9081958235744878e-16,-8.326672684688674e-17,-5.551115123125783e-17,4.163336342344337e-17,1.6653345369377348e-16,1.0408340855860843e-17,2.0816681711721685e-17,0.0,-1.3877787807814457e-17,-6.245004513516506e-17,-9.71445146547012e-17,-4.85722573273506e-17,-1.0408340855860843e-16,-2.0816681711721685e-16,-1.8041124150158794e-16,-2.7755575615628914e-17,-4.163336342344337e-17,8.326672684688674e-17,-2.7755575615628914e-17,-1.6653345369377348e-16,6.938893903907228e-18,-1.0148132334464322e-16,6.938893903907228e-18,6.961170870420016e-17,-2.7755575615628914e-17,-6.938893903907228e-17,-1.249000902703301e-16,3.608224830031759e-16,0.0,1.3877787807814457e-17,6.938893903907228e-17,5.551115123125783e-17,-1.3877787807814457e-16,9.71445146547012e-17,7.025630077706069e-17,1.5265566588595902e-16,1.1102230246251565e-16,2.6134693367763084e-16,-1.942890293094024e-16,2.220446049250313e-16,-5.551115123125783e-17,1.2836953722228372e-16
CHARGE_CURRENCY_ID,0.0,0.0,-2.0679515313825692e-25,-0.0,1.1102230246251565e-16,1.0679391398982219e-17,4.163336342344337e-17,-2.7755575615628914e-16,-1.6653345369377348e-16,-8.326672684688674e-17,2.7755575615628914e-17,-1.1102230246251565e-16,1.3877787807814457e-16,8.326672684688674e-17,-2.7755575615628914e-17,5.551115123125783e-17,-3.0357660829594124e-17,8.131516293641283e-17,2.7755575615628914e-17,4.85722573273506e-17,5.551115123125783e-17,-1.1102230246251565e-16,-1.0061396160665481e-16,1.6284716630732277e-16,1.8041124150158794e-16,1.734723475976807e-16,-1.3877787807814457e-17,-1.3877787807814457e-16,-1.249000902703301e-16,2.3592239273284576e-16,-5.551115123125783e-17,-6.245004513516506e-17,-1.0408340855860843e-17,2.5370330836160804e-16,8.760353553682876e-17,3.8163916471489756e-17,-0.0,6.938893903907228e-17,-7.632783294297951e-17,5.551115123125783e-17,-2.2390468927720175e-16,0.0,1.3877787807814457e-16,1.1796119636642288e-16,-5.377642775528102e-17,1.2533377113932431e-16,3.469446951953614e-17,-8.326672684688674e-17,0.0,-1.3877787807814457e-16,8.326672684688674e-17,-1.1102230246251565e-16,1.6653345369377348e-16,8.326672684688674e-17,-8.998878031629687e-17,-8.326672684688674e-17,-1.1102230246251565e-16,-5.551115123125783e-17,2.654126918244515e-16
RESERVE3,-0.04684884724820134,-0.04741839282389626,-0.4847585182665689,-0.0633199216701112,-0.009744870189294819,-0.034357759517066856,0.004249828258336599,0.006257076009826834,0.053873279586232725,-0.012145490407404081,-0.06857198726150962,-0.00933923834741096,-0.03055131581143783,-0.008569496371425279,0.017575531465539158,-0.0699682418742709,0.02980023139689374,-0.008551530802807985,-0.037348827648187394,-0.03351356875315267,-0.0005370145394817533,-0.021070424397569898,0.026060066868107676,-0.012698761533683656,0.02732935770457859,0.04168227407243813,-0.10111015116894854,0.03935936124161525,0.045923947209664064,0.056084460058485365,0.06544770100744908,-0.044949269217491636,-0.10330526144717833,-0.03129359506274692,0.035668172266565434,-0.07687293193594243,0.016139270511932036,0.02667671897020321,-0.07493511651112761,-0.001311740810052947,0.08815319084186853,0.03890965623784112,0.056913269590887466,-0.012744835121861003,-0.005453378710060519,-0.017304742964285427,0.08155216868618817,-0.007397754560890965,-0.024711522123495172,-0.0461322993523221,-0.006562881688504361,0.005911523724805218,-0.026381378014302917,-0.09129141708786893,-0.09659424426219168,0.0890193834329408,-0.0630897713125293,0.029469196576373285,0.0052834814162738275
RESERVE8,-0.1258972716927023,-0.04873127570683674,-0.5672737093507815,0.012344890034356246,-0.0033128464390127232,0.021457750951841402,-0.0018215973439307531,-0.020974713908536946,0.025440042161853,0.03294533954701245,-0.008653298828143141,0.011121960722429054,-0.01768741337929236,-0.011686883008690682,-0.019331911415048017,0.06379076831151265,0.0587728380079046,0.03698470328925159,0.04741435334480126,0.013770165567179126,-0.04774056816695265,0.02589685569920258,-0.006279256786176853,-0.011395493706314222,-0.0022025581765485885,-0.004503608422292232,0.02295589118201088,-0.034800854676432014,-0.008770942324013847,-0.0013591761756240328,-0.040182108278805806,0.05682712048370061,0.04959752520593874,-0.009690552845020994,-0.06530338672398642,0.001082992083312126,-0.02593882996389782,0.0032833265862889788,0.07308294483446383,-0.012691207260251067,0.012577621873493107,-0.016946930236565506,-0.04154974453276692,-0.002876382433854796,0.010799274804009468,0.002129531042371638,-0.062275095728963226,-0.022056365940406664,-0.020899688434002972,-0.005301168700640124,-0.0363971968845067,0.008916608928801438,0.0006999440248959404,0.07126246369488959,0.030383404345367897,-0.07545139639848891,0.05280794831703994,-0.007382354290286219,0.0016092506167123752
